user_id,business_id,stars
2WkM3pYfx7bt46tv7u4hHA,AuMz7XGkjLcIUurp_AD51w,3.67452543988905
eHWbF0k5QOBLgQXhGdeHmg,8i5hB_dmf33NVbWE5SwoMQ,3.67452543988905
HrjjHfDGTafXyKpQKNrYHg,nvaAUTTl7oqiJDhuimNG6A,3.67452543988905
DrWLhrK8WMZf7Jb-Oqc7ww,QwaoxP5Mgm3PJuZo_4bFsw,3.67452543988905
jDCONTPR6nyc3J7iimwzkQ,0lEp4vISRmOXa8Xz2pWhbw,3.67452543988905
u92heLV7I15JSszhSbYYHA,kctHb_sEIkeH47ldwqDxww,3.67452543988905
q5nFaw9isjD_01PpVAR7hg,2HHf0hiKtZm5nzt3irlaDA,3.67452543988905
bRADK4allaivGofRagfx6Q,jTcLbRCOCnGB4wCgsIYswg,3.67452543988905
jVMOg4mMTEs8kzpwtz7Qkw,38hRKTr67-RnoryoBtapoA,3.67452543988905
GOwr-GpWKBzf7vhcc2cH9g,b-t3nNmRw6alKw4aSqAgPg,3.67452543988905
GTsPUBdtajlK34zrJkxDLw,rfRTBch5yMEFXLn34e2R-Q,3.67452543988905
35Pu4C1t7W2Ju244IV296A,8IKkVbylBYRruaYjFPXqtg,3.67452543988905
lMPTQT0jf6-S7AxhMoOZzQ,GYPHQGaB4Oeq9veH-p2nKA,3.67452543988905
ETrSs9dpPwxqi1mYfbMmvw,qNoNkF1yJctEs3t40VkX4w,3.67452543988905
66CvWYdsXZcInKUGw62BwA,DF-7XU1Wncxx3XqZoiIIGg,3.67452543988905
uZbTb-u-GVjTa2gtQfry5g,DBoebGeuz91QAP3tSFYs6w,3.67452543988905
wgce11aw6PRJ4NECkuKK1g,xu4zDdi46zaJ_pvDtruiaw,3.67452543988905
XAYnVFLCV7i3iR4qs4eeQQ,jgHNa2VHgeCANh8bgFDjjQ,3.67452543988905
_aguQTUp7kMlWhWr2mojdA,DF-7XU1Wncxx3XqZoiIIGg,3.67452543988905
TYvk87nV1T3duSwoEPMAfw,AuMz7XGkjLcIUurp_AD51w,3.67452543988905
-y9OltpeZsNiTGjq7weTBQ,TG43zoUOuWqNXDCUDshsvQ,3.67452543988905
dzJMS9cBlpKr3FzRoh1snw,59VVVF8Y9UD1tEpXD5PghQ,3.67452543988905
